road_id,segment_id,road_name,from_street,to_street,jurisdiction,latitude,longitude,road_length_miles,lanes,surface_type,functional_class,pci,condition_date,traffic_level,adt,age_years,freeze_thaw,recommended_treatment,treatment_cost_per_lane_mile,data_status,data_source,data_updated_at
LEO-ROAD-1,LEO-1-33813973802018538025295,Sherwood Rd,,,Leoni Township,42.35005979682404,-84.26125356482281,0.078767,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-2,LEO-2-33813973802529538020180,Sherwood Rd,,,Leoni Township,42.350118124097605,-84.25974752732725,0.046241,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-3,LEO-3-9188083800179838001796,Dunn Rd,,,Leoni Township,42.34983514677192,-84.26348048546191,0.006556,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-4,LEO-4-33813973802018038020181,Sherwood Rd,,,Leoni Township,42.349817314387174,-84.25894154849661,0.045926,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-5,LEO-5-33813973802017838020185,Sherwood Rd,,,Leoni Township,42.3488520462485,-84.26224077945362,0.102076,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-6,LEO-6-9188083802017838001798,Dunn Rd,,,Leoni Township,42.3488520462485,-84.26224077945362,0.092877,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-7,LEO-7-33813983802529338020181,Deerview Way,,,Leoni Township,42.34800325256346,-84.25758673810445,0.110415,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-8,LEO-8-33817083802529238025293,Dunn Rd,,,Leoni Township,42.34795993878658,-84.25817177038964,0.03012,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-9,LEO-9-33813983802018038025292,Deerview Way,,,Leoni Township,42.349817314387174,-84.25894154849661,0.135096,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-10,LEO-10-33817083802529638025292,Dunn Rd,,,Leoni Township,42.34780756099744,-84.25862897472457,0.025972,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-11,LEO-11-33817073802529538025296,Dunn Rd,,,Leoni Township,42.350118124097605,-84.25974752732725,0.170605,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-12,LEO-12-33813973802018138020188,Sherwood Rd,,,Leoni Township,42.34952691291729,-84.2581356123061,0.385456,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-13,LEO-13-33813983802529238025294,Deerview Way,,,Leoni Township,42.34795993878658,-84.25817177038964,0.091023,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-14,LEO-14-33817073802529638025294,Dunn Rd,,,Leoni Township,42.34780756099744,-84.25862897472457,0.099296,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-15,LEO-15-33813983802529438025293,Deerview Way,,,Leoni Township,42.34666119858757,-84.25790415224901,0.121468,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-16,LEO-16-33813993802018838020189,Keane St,,,Leoni Township,42.34687455072322,-84.25219352933583,0.148369,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-17,LEO-17-33813973802018838020189,Sherwood Rd,,,Leoni Township,42.34687455072322,-84.25219352933583,0.072935,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-18,LEO-18-33813973802018938020191,Keane St,,,Leoni Township,42.346205951568706,-84.25120642687098,0.166134,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-19,LEO-19-33814003802019238020191,Lester Cir,,,Leoni Township,42.34308521993849,-84.25257779360767,0.150395,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-20,LEO-20-33813973802019138001949,Keane St,,,Leoni Township,42.34430919611261,-84.25111324254334,0.104546,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-21,LEO-21-33814003800194938020192,Lester Cir,,,Leoni Township,42.342944282975466,-84.2507704829315,0.097717,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-22,LEO-22-33814013802019238020193,Lester Cir,,,Leoni Township,42.34308521993849,-84.25257779360767,0.04378,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-23,LEO-23-9188063801834338001949,Welch Lake Rd,,,Leoni Township,42.34245610163142,-84.25041143730334,0.038991,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-24,LEO-24-33816773802168938021690,Maple Dr,,,Leoni Township,42.34048057039177,-84.27655490899102,0.036439,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-25,LEO-25-33816753802142438021689,Hickory Dr,,,Leoni Township,42.34028457750654,-84.27688246218383,0.021542,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-26,LEO-26-33816763802168538021689,Oak Ave,,,Leoni Township,42.339676377283865,-84.27557379430807,0.074836,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-27,LEO-27-9188173802168538021684,Hill Dr,,,Leoni Township,42.339676377283865,-84.27557379430807,0.02444,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-28,LEO-28-33816753802168438021424,Hickory Dr,,,Leoni Township,42.339645811989946,-84.2760489154651,0.063875,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-29,LEO-29-9188173802168438021424,Hill Dr,,,Leoni Township,42.339645811989946,-84.2760489154651,0.111075,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-30,LEO-30-9188083800205038020178,Dunn Rd,,,Leoni Township,42.3390458153643,-84.25565001100951,0.77182,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-31,LEO-31-9188173800205038002051,Cutler Rd,,,Leoni Township,42.3390458153643,-84.25565001100951,0.008086,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-32,LEO-32-33816783802168638021690,Woods Dr,,,Leoni Township,42.33931963861905,-84.2744108426881,0.117168,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-33,LEO-33-9188173802168638021685,Hill Dr,,,Leoni Township,42.33931963861905,-84.2744108426881,0.069133,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-34,LEO-34-33816773802169038021687,Maple Dr,,,Leoni Township,42.340549323169704,-84.27598721392708,0.201394,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-35,LEO-35-9188173802168738025522,Cutler Rd,,,Leoni Township,42.33923721648265,-84.27317739185706,0.010723,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-36,LEO-36-9188173802552238002052,Cutler Rd,,,Leoni Township,42.33923795160188,-84.27338687986452,0.014482,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-37,LEO-37-9188173800205238021686,Hill Dr,,,Leoni Township,42.339238944244435,-84.27366979818058,0.038338,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-38,LEO-38-9188173800205138017582,Cutler Rd,,,Leoni Township,42.3390471653657,-84.25580797130466,0.47071,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-39,LEO-39-9188173801758238002063,Cutler Rd,,,Leoni Township,42.33895892498399,-84.26489823434758,0.22673,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-40,LEO-40-33816793800205238021692,McCombe Dr,,,Leoni Township,42.339238944244435,-84.27366979818058,0.021332,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-41,LEO-41-9188173800206338021687,Cutler Rd,,,Leoni Township,42.338942837560076,-84.26931218306318,0.200129,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-42,LEO-42-9188063800204738018343,Welch Lake Rd,,,Leoni Township,42.33852608110142,-84.25041049118083,0.271149,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-43,LEO-43-9188173800204738002050,Cutler Rd,,,Leoni Township,42.33852608110142,-84.25041049118083,0.287883,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-44,LEO-44-33816793802169238021688,McCombe Dr,,,Leoni Township,42.339009944268376,-84.27394979757388,0.17263,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-45,LEO-45-33816793802168838021693,McCombe Dr,,,Leoni Township,42.33809521085137,-84.2766806665859,0.047562,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-46,LEO-46-33816803802169238021691,Darin Dr,,,Leoni Township,42.339009944268376,-84.27394979757388,0.119793,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-47,LEO-47-9186043800237238002366,Wooster Rd,,,Leoni Township,42.33156058991855,-84.30648578317114,0.010965,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-48,LEO-48-9186043800266538002372,Wooster Rd,,,Leoni Township,42.32344316025343,-84.30361381373667,0.591145,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-49,LEO-49-9188063800270038002047,Welch Lake Rd,,,Leoni Township,42.32107038237339,-84.25030808339882,1.212708,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-50,LEO-50-9186073800270138002700,Seymour Rd,,,Leoni Township,42.32107149880102,-84.26018012338912,0.50591,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-51,LEO-51-9186073800270438002701,Seymour Rd,,,Leoni Township,42.32122102057811,-84.27004399199035,0.505146,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-52,LEO-52-9186043800272538002665,Wooster Rd,,,Leoni Township,42.32115643785758,-84.30360809076984,0.157888,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-53,LEO-53-9186073800272838002711,Seymour Rd,,,Leoni Township,42.32103557593414,-84.3029590725169,0.753889,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-54,LEO-54-9186073800274138002728,Seymour Rd,,,Leoni Township,42.320808127760344,-84.3036048220011,0.036799,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-55,LEO-55-9186043800274138002725,Wooster Rd,,,Leoni Township,42.320808127760344,-84.3036048220011,0.024032,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-56,LEO-56-9186073800275838002704,Seymour Rd,,,Leoni Township,42.320072608207845,-84.28240980116483,0.643829,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-57,LEO-57-9186073800271138002758,Seymour Rd,,,Leoni Township,42.321201879362626,-84.28823699655342,0.316085,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-58,LEO-58-9208073801816238002769,Sandhill Ct,,,Leoni Township,42.31968601665254,-84.28684841496168,0.007405,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-59,LEO-59-9208073801816438018162,Sandhill Ct,,,Leoni Township,42.319639375033816,-84.28695856932916,0.006494,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-60,LEO-60-9208073800278138018164,Sandhill Ct,,,Leoni Township,42.31935544615478,-84.28762912091555,0.039529,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-61,LEO-61-9192053800278138002711,Fairlane Rd,,,Leoni Township,42.31935544615478,-84.28762912091555,0.135293,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-62,LEO-62-9208063801816338002779,Crane Ct,,,Leoni Township,42.31905222814387,-84.28572244110651,0.011421,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-63,LEO-63-9208063800280438018163,Crane Ct,,,Leoni Township,42.3183036196026,-84.28584797845446,0.053563,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-64,LEO-64-9192053800280438002781,Fairlane Rd,,,Leoni Township,42.3183036196026,-84.28584797845446,0.11923,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-65,LEO-65-33814073800280438002828,Seymour Rd,,,Leoni Township,42.3183036196026,-84.28584797845446,0.067752,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-66,LEO-66-33814073800282838020234,Seymour Rd,,,Leoni Township,42.31741961597374,-84.2854167011048,0.207399,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-67,LEO-67-9186043800289238002741,Seymour Rd,,,Leoni Township,42.314763961884175,-84.30844850923368,0.486329,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-68,LEO-68-9186043800292038002892,Seymour Rd,,,Leoni Township,42.313679388570755,-84.3093303305157,0.087507,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-69,LEO-69-9186163800292038002916,Saint John Rd,,,Leoni Township,42.313679388570755,-84.3093303305157,0.159864,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-70,LEO-70-9186163800291638002919,Saint John Rd,,,Leoni Township,42.313657155418184,-84.31245210143261,0.087278,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-71,LEO-71-9186163800291938002914,Saint John Rd,,,Leoni Township,42.31365736045911,-84.31415651917384,0.072858,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-72,LEO-72-8986093800293438002743,Hawkins Rd,,,Leoni Township,42.3134442757566,-84.33893323692627,0.532717,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-73,LEO-73-9129103800294238002934,Dalton Rd,,,Leoni Township,42.313328396891166,-84.34883404993266,0.507086,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-74,LEO-74-9129103800294438002942,Dalton Rd,,,Leoni Township,42.313296595327216,-84.35106270572912,0.114144,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-75,LEO-75-9129103802550838002944,Dalton Rd,,,Leoni Township,42.313171996195734,-84.35826261532864,0.370134,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-76,LEO-76-9186043800294938002920,Seymour Rd,,,Leoni Township,42.31239406903963,-84.30937796243902,0.088713,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-77,LEO-77-9188063800299438002700,Welch Lake Rd,,,Leoni Township,42.310127248828834,-84.25034700073303,0.755065,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-78,LEO-78-33800433800299238002701,Race Rd,,,Leoni Township,42.31026033592531,-84.26009800523101,0.745927,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-79,LEO-79-9188013800299238002994,Glenn Rd,,,Leoni Township,42.31026033592531,-84.26009800523101,0.586627,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-80,LEO-80-9188013800301238002992,Glenn Rd,,,Leoni Township,42.3094932711147,-84.26999925550824,0.519172,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-81,LEO-81-9187103800301238002704,Updyke Rd,,,Leoni Township,42.3094932711147,-84.26999925550824,0.80916,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-82,LEO-82-9129103800310538025508,Dalton Rd,,,Leoni Township,42.30851077410968,-84.35851298434218,0.326173,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-83,LEO-83-9187103800313338003012,Updyke Rd,,,Leoni Township,42.306635459908115,-84.2699482615747,0.197189,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-84,LEO-84-9186053800313838003133,Smith Rd,,,Leoni Township,42.306574574043616,-84.28699225664894,0.872884,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-85,LEO-85-9186053800314538003138,Smith Rd,,,Leoni Township,42.306516706409276,-84.29459058357065,0.389153,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-86,LEO-86-9186043800316338002949,Seymour Rd,,,Leoni Township,42.306434636208174,-84.30936443751791,0.411409,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-87,LEO-87-9186053800316338003145,Smith Rd,,,Leoni Township,42.306434636208174,-84.30936443751791,0.756883,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-88,LEO-88-8986093800317738002934,Hawkins Rd,,,Leoni Township,42.30638616536213,-84.33882996371017,0.486995,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-89,LEO-89-9186043800320938003163,Seymour Rd,,,Leoni Township,42.305451187393444,-84.31055132953665,0.091238,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-90,LEO-90-33814083802022838020227,Kentucky Dr,,,Leoni Township,42.30284031391643,-84.25400886529678,0.050685,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-91,LEO-91-33807773800326938020228,Lakeshore Dr,,,Leoni Township,42.30247550838205,-84.25393250120608,0.02622,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-92,LEO-92-33807773802154738003269,Lakeshore Dr,,,Leoni Township,42.30157981277881,-84.25400441061382,0.063028,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-93,LEO-93-33807773800330938021547,Lakeshore Dr,,,Leoni Township,42.301322058112866,-84.25934681543352,0.275093,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-94,LEO-94-33800433800330938002992,Race Rd,,,Leoni Township,42.301322058112866,-84.25934681543352,0.618866,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-95,LEO-95-33816053802154738021465,Lakeshore Dr,,,Leoni Township,42.30157981277881,-84.25400441061382,0.06042,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
